Strategy,Operation,Throughput_Ops_Sec
FIRST_FIT,500,614312.50
FIRST_FIT,1000,457949.48
FIRST_FIT,1500,355440.97
FIRST_FIT,2000,296378.67
FIRST_FIT,2500,242499.44
FIRST_FIT,3000,207193.21
FIRST_FIT,3500,181699.86
FIRST_FIT,4000,158626.63
FIRST_FIT,4500,143368.84
FIRST_FIT,5000,131574.35
FIRST_FIT,5500,121046.80
FIRST_FIT,6000,111950.25
FIRST_FIT,6500,102888.79
FIRST_FIT,7000,93998.13
FIRST_FIT,7500,88369.28
FIRST_FIT,8000,82741.11
FIRST_FIT,8500,77895.86
FIRST_FIT,9000,72302.17
FIRST_FIT,9500,68241.88
Strategy,Operation,Throughput_Ops_Sec
BEST_FIT,500,1004796.90
BEST_FIT,1000,777793.68
BEST_FIT,1500,614493.19
BEST_FIT,2000,532626.43
BEST_FIT,2500,458408.17
BEST_FIT,3000,405707.27
BEST_FIT,3500,369515.05
BEST_FIT,4000,337376.08
BEST_FIT,4500,314907.86
BEST_FIT,5000,300032.49
BEST_FIT,5500,284897.29
BEST_FIT,6000,275012.94
BEST_FIT,6500,264921.49
BEST_FIT,7000,255874.23
BEST_FIT,7500,249845.39
BEST_FIT,8000,241311.98
BEST_FIT,8500,232479.92
BEST_FIT,9000,222530.22
BEST_FIT,9500,213480.03
Strategy,Operation,Throughput_Ops_Sec
WORST_FIT,500,1522046.85
WORST_FIT,1000,1211652.71
WORST_FIT,1500,886744.94
WORST_FIT,2000,709537.64
WORST_FIT,2500,580981.64
WORST_FIT,3000,488227.53
WORST_FIT,3500,422352.13
WORST_FIT,4000,371060.41
WORST_FIT,4500,331118.98
WORST_FIT,5000,299425.08
WORST_FIT,5500,271439.80
WORST_FIT,6000,247581.96
WORST_FIT,6500,227151.29
WORST_FIT,7000,210245.96
WORST_FIT,7500,196420.75
WORST_FIT,8000,183709.22
WORST_FIT,8500,171304.77
WORST_FIT,9000,159241.15
WORST_FIT,9500,148715.33
